Country,Global Median Income
India,
China,
United States,24327.0
Pakistan,1399.0
Nigeria,825.0
Brazil,4230.0
Bangladesh,1131.0
Russia,9563.0
Ethiopia,907.0
Mexico,3486.0
Japan,15144.0
Philippines,2292.0
Egypt,1485.0
DR Congo,395.0
Vietnam,3149.0
Iran,4360.0
Turkey,5251.0
Germany,20323.0
Thailand,4356.0
Tanzania,702.0
United Kingdom,16907.0
France,18301.0
South Africa,1624.0
Italy,15268.0
Kenya,874.0
Myanmar,1909.0
Colombia,3146.0
South Korea,13731.0
Uganda,804.0
Sudan,1277.0
Spain,14695.0
Iraq,1951.0
Algeria,2612.0
Argentina,6731.0
Poland,11308.0
Canada,20550.0
Morocco,2716.0
Ukraine,4434.0
Angola,665.0
Uzbekistan,591.0
Yemen,1150.0
Mozambique,529.0
Ghana,1779.0
Peru,3332.0
Malaysia,8840.0
Nepal,1155.0
Madagascar,398.0
Ivory Coast,987.0
Venezuela,2710.0
Cameroon,1245.0
Niger,738.0
Australia,19363.0
Syria,1996.0
Mali,689.0
Taiwan,13903.0
Burkina Faso,748.0
Sri Lanka,2277.0
Malawi,484.0
Zambia,545.0
Kazakhstan,3661.0
Chile,6209.0
Romania,7731.0
Chad,880.0
Ecuador,3891.0
Guatemala,2252.0
Senegal,844.0
Netherlands,21480.0
Zimbabwe,932.0
Guinea,843.0
Rwanda,621.0
Benin,699.0
Burundi,475.0
Bolivia,5442.0
Tunisia,3366.0
Haiti,1162.0
Belgium,19360.0
Dominican Republic,3858.0
Jordan,3185.0
South Sudan,793.0
Honduras,2529.0
Sweden,18911.0
Papua New Guinea,876.0
Czech Republic,12852.0
Azerbaijan,3193.0
Tajikistan,1994.0
Greece,9056.0
Portugal,10855.0
Hungary,9683.0
United Arab Emirates,26324.0
Belarus,6507.0
Israel,12282.0
Togo,683.0
Sierra Leone,765.0
Austria,21572.0
Switzerland,23488.0
Laos,1065.0
Nicaragua,2946.0
Serbia,5935.0
Paraguay,4614.0
Kyrgyzstan,1892.0
Bulgaria,8329.0
Turkmenistan,706.0
El Salvador,3781.0
Republic of the Congo,892.0
Denmark,20593.0
Central African Republic,491.0
Slovakia,9037.0
Finland,18692.0
Liberia,753.0
Norway,23835.0
Costa Rica,5789.0
Lebanon,7712.0
Ireland,17962.0
Mauritania,1760.0
Panama,7008.0
Croatia,9855.0
Georgia,2273.0
Mongolia,2800.0
Uruguay,7377.0
Moldova,3133.0
Bosnia and Herzegovina,5925.0
Gambia,1383.0
Albania,3358.0
Jamaica,2899.0
Armenia,2216.0
Botswana,1596.0
Lithuania,12425.0
Namibia,1962.0
Gabon,2779.0
Lesotho,1157.0
Slovenia,15078.0
North Macedonia,4920.0
Latvia,10428.0
Trinidad and Tobago,2868.0
Timor-Leste,970.0
Estonia,13140.0
Mauritius,3832.0
Cyprus,15896.0
Eswatini,1097.0
Djibouti,1403.0
Fiji,2460.0
Comoros,1401.0
Guyana,2003.0
Bhutan,2446.0
Solomon Islands,1028.0
Luxembourg,28382.0
Suriname,1659.0
Montenegro,5336.0
Malta,17560.0
Maldives,5409.0
Belize,1927.0
Iceland,20630.0
Vanuatu,1379.0
Sao Tome and Principe,901.0
Samoa,2537.0
Saint Lucia,4763.0
Kiribati,1489.0
Micronesia,1413.0
Tonga,2782.0
Seychelles,7118.0
Tuvalu,2099.0
